epoch,goal_achieved
503,"[True, True, True, True, True]"
504,"[True, False, True, False, True]"
505,"[False, True, False, False, False]"
506,"[True, True, True, True, False]"
507,"[False, False, True, False, True]"
508,"[True, True, False, True, True]"
509,"[True, True, True, True, True]"
510,"[False, True, True, True, False]"
511,"[True, False, True, True, True]"
512,"[True, False, True, True, True]"
513,"[True, True, True, True, True]"
514,"[True, True, True, False, True]"
515,"[True, False, True, False, True]"
516,"[False, True, True, True, True]"
517,"[False, True, False, True, False]"
518,"[True, False, True, True, True]"
519,"[True, True, True, True, False]"
520,"[False, True, True, True, False]"
521,"[True, True, True, False, True]"
522,"[False, True, True, True, True]"
523,"[True, True, True, True, True]"
524,"[True, True, True, True, True]"
525,"[True, True, False, True, False]"
526,"[True, False, False, True, True]"
527,"[False, True, False, False, False]"
528,"[True, False, True, True, True]"
529,"[False, False, True, True, True]"
530,"[True, False, False, True, False]"
531,"[True, True, True, False, True]"
532,"[True, False, True, True, True]"
533,"[True, True, True, False, False]"
534,"[True, True, True, True, True]"
535,"[True, True, True, True, True]"
536,"[True, True, True, True, True]"
537,"[False, True, True, False, False]"
538,"[True, True, True, True, False]"
539,"[True, True, False, False, True]"
540,"[True, True, True, True, True]"
541,"[True, True, False, False, True]"
542,"[True, True, False, True, True]"
543,"[True, True, True, True, True]"
544,"[True, True, False, True, False]"
545,"[True, False, False, False, True]"
546,"[False, True, True, True, True]"
547,"[True, True, True, False, True]"
548,"[False, True, False, True, False]"
549,"[False, True, True, True, True]"
550,"[True, True, True, True, True]"
551,"[False, True, True, True, True]"
552,"[True, True, True, True, False]"
553,"[False, True, True, True, False]"
554,"[True, True, True, True, False]"
555,"[True, True, True, True, True]"
556,"[True, True, True, True, True]"
557,"[True, True, True, True, False]"
558,"[True, True, True, True, True]"
559,"[True, True, False, True, True]"
560,"[True, False, False, False, False]"
561,"[True, True, True, True, True]"
562,"[True, True, True, True, True]"
563,"[False, True, True, True, True]"
564,"[False, True, True, False, False]"
565,"[True, True, True, False, True]"
566,"[True, True, False, True, True]"
567,"[True, True, True, True, False]"
568,"[True, True, True, False, False]"
569,"[True, False, True, True, True]"
570,"[True, True, True, True, True]"
571,"[False, True, True, True, True]"
